书名,原书名,作者,翻译,出版社,丛书,出版日期,ISBN,页数,定价,标签,阅读状态,豆瓣评分,豆瓣评论人数,豆瓣地址
经济与社会（第一卷）, Wirtschaft und Gesellschaft,[德] 马克斯·韦伯 , 阎克文 , 上海人民出版社,世纪人文系列丛书·世纪文库, 2010-1,9787208089075,781, 68.00元, 社会学 马克斯·韦伯 社会理论 政治学 德国 学术 经典,想读,9.2,262,https://book.douban.com/subject/4122414/
隋唐史,,岑仲勉 ,, 华中科技大学出版社,, 2017-8,9787568025515,518, 78.00元, 隋唐史 岑仲勉,想读, ,,https://book.douban.com/subject/30365446/
春秋史,,童书业 ,, 上海古籍出版社,蓬莱阁丛书, 2003-4-1,9787532533909,325, 19.50元, 春秋 童书业,想读,8.4,324,https://book.douban.com/subject/1313715/
历史学十二讲: 增订本, Douze lecons sur l&#39;histoire,[法]安托万·普罗斯特 , 王春华 , 北京大学出版社,博雅·历史与理论, 2018-9,9787301294611,412, 68.00元,,想读,9.4,46,https://book.douban.com/subject/30207001/
中国历史地图集(第六册)：宋、辽、金时期: 宋、辽、金时期,,谭其骧 ,, 中国地图出版社,中国历史地图集, 1996-06-01,9787503103858,, 61.00元, 历史地理 谭其骧,想读,9.5,47,https://book.douban.com/subject/1660168/
长水集,,谭其骧 ,, 人民出版社,, 2011-10,9787010094502,1544, 199.00元, 历史地理 谭其骧,想读,9,43,https://book.douban.com/subject/6938182/
长水粹编,,谭其骧、葛剑雄 ,, 河北教育出版社,二十世纪中国史学名著, 2000-12,9787543438705,664, 27.60元, 谭其骧 历史地理学 中国史,想读,8.7,59,https://book.douban.com/subject/1058619/
游牧者的抉择: 面对汉帝国的北亚游牧部族,,王明珂 , 世纪文景, 世纪文景/上海人民出版社,王明珂作品集, 2018-6-30,9787208150683,352, 59.80元, 人类学 民族史 王明珂 历史学 边疆,想读,8.7,283,https://book.douban.com/subject/30181646/
最危险的书: 为乔伊斯的《尤利西斯》而战, The Most Dangerous Book: The Battle for James Joyce’s Ulysse,[美]凯文‧伯明翰（Kevin Birmingham） , 辛彩娜、冯洋 , 社会科学文献出版社,甲骨文丛书, 2018-10,9787520106443,536,89, 甲骨文丛书 外国文学,想读,9.1,162,https://book.douban.com/subject/30271098/
世界的演变: 19世纪史, Die Verwandlung der Welt: eine Geschichte des 19. Jahrhunderts,[德] 于尔根·奥斯特哈默 , 强朝晖、刘风 , 社会科学文献出版社,甲骨文丛书, 2016-11-1,9787509781623,1864, CNY 238.00, 社会学 世界史 甲骨文丛书,想读,9.1,398,https://book.douban.com/subject/26639302/
权力与特权: 社会分层的理论, Power and Privilege: A Theory of Social Stratification,[美] 格尔哈特·伦斯基 , 关信平、陈宗显、谢晋宇 , 社会科学文献出版社,甲骨文丛书, 2018-1-1,9787520112178,656,92, 社会学 政治学 格尔哈特·伦斯基,想读,8.8,250,https://book.douban.com/subject/27101663/
计算机组成（第 6 版）: 结构化方法, Structured Computer Organization. 6th Edition,Andrew S. Tanenbaum、Todd Austin , 刘卫东、宋佳兴 , 机械工业出版社,计算机科学丛书, 2014-8-19,9787111453802,557, CNY 99.00, 计算机组成原理,想读,9.1,40,https://book.douban.com/subject/25982323/
图解TCP/IP（第5版）, マスタリングTCP/IP 入門編 第5版,[日]竹下隆史、[日]村山公保、[日]荒井透、[日]苅田幸雄 , 乌尼日其其格 , 人民邮电出版社,图解入门系列, 2013-7-1,9787115318978,312, 69.00元, 日本 TCP/IP 软件工程,想读,7.8,789,https://book.douban.com/subject/24737674/
禅与摩托车维修艺术, Zen and the Art of Motorcycle Maintenance,(美)罗伯特·M.波西格 , 张国辰 , 重庆出版社,重现经典（精装）, 2011-9,9787229040369,377, 36.00元, 旅游行走系列 禅 旅行 文学 波西格,想读,8.3,12004,https://book.douban.com/subject/6811366/
这样读书就够了: 个人学习力升级指南,,赵周 ,, 中信出版集团,, 2017-12,9787508682471,366,48, 个人管理 学习方法 阅读,想读,7.7,1112,https://book.douban.com/subject/27591449/
驱动力: 在奖励与惩罚都已失效的当下 如何焕发人的热情, Drive: The Surprising Truth about What Motivates Us,[美] 丹尼尔•平克 , 龚怡屏 , 中国人民大学出版社,湛庐文化·财富汇, 2012-2,9787300149301,230, 42.00元, 管理学 个人管理 自我管理,想读,7.5,997,https://book.douban.com/subject/10484712/
Linux防火墙, Linux Firewalls: Attack Detection and Response with iptables. psad. and fwsnort,Michael Rash , 陈健 , 人民邮电出版社,, 2009-04,9787115205803,247, 49.00元, Linux iptables firewall 网络安全 防火墙,想读,8.1,46,https://book.douban.com/subject/3678862/
正统与华夷: 中国传统政治文化研究,,刘浦江 ,, 中华书局,北京大学中国古代史研究中心丛刊, 2017-9-1,9787101125795,316, CNY 79.00, 中国政治 古代史,想读,9,177,https://book.douban.com/subject/27119301/
汉唐间史学的发展（修订版）,,胡宝国 ,, 北京大学出版社,博雅撷英, 2014-10-1,9787301248423,252, 39元, 胡宝国 学术史 史学史 史学理论,想读,9.4,227,https://book.douban.com/subject/26107947/
宋代城市研究,,包伟民 ,, 中华书局,中华学术文库, 2014-7-1,9787101101737,454, CNY 56.00, 宋 社会史 经济史 中国古代史,想读,9.1,99,https://book.douban.com/subject/25936983/
终极之典: 中古丧葬制度研究,,吴麗娱 ,, 中华书局,中华学术文库, 2012-12,9787101090512,937, 98.00元, 礼制 中古史,想读,9,51,https://book.douban.com/subject/20473477/
读史存稿（增订本）,,缪钺 ,, 北京大学出版社,博雅英华, 2017-12,9787301290569,556,98, 读史存稿 缪钺,想读,9,34,https://book.douban.com/subject/27617224/
魏晋玄学史: 第二版,,余敦康 ,, 北京大学出版社,博雅英华, 2015-12-1,9787301263471,528, 85.00元, 魏晋南北朝史 思想史 哲学 魏晋玄学 玄学,想读,7.8,91,https://book.douban.com/subject/26684431/
隐性逻辑: 教你快速切换思考方式,,[德] 卡尔·诺顿 , 张帆 , 九州出版社丨阳光博客,让人脑洞大开的思维精进书, 2017-7-1,9787510852305,208,42, 逻辑 反思,想读,7.2,928,https://book.douban.com/subject/27054637/
富爸爸，穷爸爸, Rich Dad. Poor Dad,（美）罗伯特・T・清崎、莎伦・L・莱希特 , 杨君，杨明 , 世界图书出版公司,富爸爸，穷爸爸, 2000-09,9787506246743,205,18.8, 理财,想读,8.2,43964,https://book.douban.com/subject/1033778/
商业的本质, The Real-Life MBA: Your No-BS Guide to Winning the Game. Building a Team. and Growing Your Career,[美] 杰克·韦尔奇、[美] 苏茜·韦尔奇 , 蒋宗强 , 中信出版社,, 2016-4-6,9787508658339,294, 49.00元, 企业管理 杰克•韦尔奇,想读,7.5,1735,https://book.douban.com/subject/26743607/
两汉魏晋南北朝宰相制度研究,,祝总斌 ,, 北京大学出版社,博雅英华, 2017-4,9787301279601,326,64, 魏晋南北朝 制度史,想读,9.2,205,https://book.douban.com/subject/27025893/
秦汉魏晋史探微,,田余庆 ,, 中华书局,, 2011-6-1,9787101079067,419, 38.00元, 魏晋南北朝史 田余庆 中华书局,想读,9.3,1047,https://book.douban.com/subject/6311230/
计算机网络（第6版）: 自顶向下方法, Computer Networking：A Top-Down Approach，Sixth Edition,[美] James F.Kurose、[美] Keith W.Ross , 陈鸣 , 机械工业出版社,计算机科学丛书, 2014-10,9787111453789,548, 79.00元, 计算机网络,想读,8.9,412,https://book.douban.com/subject/26176870/
软件项目成功之道, Ship it! A Practical Guide to Successful Software Projects,,, 人民邮电,图灵程序设计丛书·程序员修炼系列, 2011-8,9787115259653,181, 39.00元, 软件工程,想读,8.2,72,https://book.douban.com/subject/6748308/
精益开发实战: 用看板管理大型项目, Lean from the Trenches: Managing Large-Scale Projects with Kanban,克里伯格 , 李祥青 , 人民邮电出版社,图灵程序设计丛书·程序员修炼系列, 2012-9,9787115291776,168, 39.00元, 敏捷 软件工程,想读,8.2,225,https://book.douban.com/subject/11620809/
软件测试的艺术, The Art of Software Testing. 3rd,Glenford J. Myers、Tom Badgett , 张晓明 , 机械工业出版社华章公司,华章·软件工程技术丛书, 2012-4-15,9787111376606,189, 39.00元, 经典 入门 软件工程,想读,7.7,118,https://book.douban.com/subject/10549782/
Python编程: 从入门到实践, Python Crash Course,[美]埃里克·马瑟斯 , 袁国忠 , 人民邮电出版社,图灵程序设计丛书, 2016-7-1,9787115428028,459, CNY 89.00, python,想读,9.1,1984,https://book.douban.com/subject/26829016/
深入理解计算机系统（原书第3版）, Computer Systems: A Programmer&#39;s Perspective (3rd Edition),Randal E.Bryant、David O&#39;Hallaron , 龚奕利、贺莲 , 机械工业出版社,计算机科学丛书, 2016-11,9787111544937,737, 139.00元, CSAPP 操作系统,想读,9.8,707,https://book.douban.com/subject/26912767/
算法详解（卷1）——算法基础, Algorithms Illuminated. Part 1: The Basics,[美]蒂姆·拉夫加登（Tim Roughgarden） , 徐波 , 人民邮电出版社,, 2019-1-1,9787115493521,185,49, 计算机 算法 Algorithms,想读, ,,https://book.douban.com/subject/30424415/
编程格调, The Elements of Programming Style,[美] Brian W. Kernighan、[美] P.J. Plauger , 高博、徐章宁 , 人民邮电出版社,, 2015-3,9787115379528,180,49, 计算机 程序设计 软件工程,想读,7.5,30,https://book.douban.com/subject/26335120/
经略幽燕: 宋辽战争军事灾难的战略分析,,曾瑞龙 ,, 北京大学出版社,博雅史学论丛·中国史系列, 2013-1,9787301214640,384, 49.00元, 宋史 战略,想读,8.8,223,https://book.douban.com/subject/20399472/
宋辽战争论考,,王晓波 ,, 四川大学出版社,, 2011-4-1,9787561452455,288, 26.00元, 宋代 战争史,想读,7.5,33,https://book.douban.com/subject/6434800/
Linux内核源代码情景分析（上册）,,毛德操、胡希明 ,, 浙江大学出版社,Linux内核源代码情景分析, 2001-9,9787308027038,841, 80.00元, linux kernel,想读,8.6,191,https://book.douban.com/subject/1231584/
Linux内核完全注释,,赵炯 ,, 机械工业出版社,, 2005-8,9787111149682,436, 42.00元, Linux 操作系统 Linux内核,想读,8.5,167,https://book.douban.com/subject/1231236/
普林斯顿微积分读本（修订版）, The Calculus Lifesaver:All the Tools You Need to Excel at Calculus,[美] Adrian Banner , 杨爽、赵晓婷、高璞 , 人民邮电出版社,图灵数学·统计学丛书, 2016-10,9787115435590,668, 99.00元, 微积分,想读,9.6,277,https://book.douban.com/subject/26899701/
简单微积分: 学校未教过的超简易入门技巧, 「超」入門 微分積分,[日] 神永正博 , 李慧慧 , 人民邮电出版社,图灵新知, 2018-7,9787115485076,213,49, 微积分 日本 科普,想读,8.6,106,https://book.douban.com/subject/30271424/
当代名家学术思想文库·田余庆卷,,田余庆 ,, 万卷,当代名家学术思想文库, 2011-1,9787547013052,508, 68.00元, 田余庆 文集 历史,想读,9.2,24,https://book.douban.com/subject/5980595/
文言语法,,杨伯峻 ,, 中华书局,, 2016-6,9787101116199,,29, 语法 杨伯峻 古代汉语,想读,8.2,30,https://book.douban.com/subject/26826243/
古汉语语法及其发展（全二册）,,杨伯峻、何乐士 ,, 语文出版社,, 2001-8-1,9787800062100,1065, 65.00元, 汉语史,想读,9.3,34,https://book.douban.com/subject/1133317/
古汉语虚词,,杨伯峻 ,, 中华书局,, 1981-2,9787101024555,392, 18.00元, 古代汉语 语言学 工具书 杨伯峻,想读,8.8,37,https://book.douban.com/subject/1096476/
春秋左传注（全四册）: 春秋左传注,,杨伯峻 ,, 中华书局,中國古典名著譯注叢書,2009,9787101070743,1736, 178.00元, 中华书局 杨伯峻 左传,想读,9.6,904,https://book.douban.com/subject/4146127/
论语译注,,杨伯峻 ,, 中华书局,中國古典名著譯注叢書, 2009-10-1,9787101070248,308, 22.00元, 杨伯峻 论语 中华书局,想读,9.2,1893,https://book.douban.com/subject/4098263/
明通鉴（全六册）,,[清]夏燮撰、沈仲九标点 ,, 中华书局,,2009,9787101057546,3421, 680.00元, 明通鉴,想读,9.1,32,https://book.douban.com/subject/3859958/
魏晋南北朝隋唐史三论: 中国封建社会的形成和前期的变化,,唐长孺 ,, 中华书局,唐長孺文集, 2011-4-1,9787101068320,475, 46.00元, 魏晋南北朝史 唐长孺,想读,9.3,255,https://book.douban.com/subject/5392437/
劝读论语和论语读法,,钱穆 ,, 商务印书馆,钱穆学术著作, 2014-12,9787100109253,185,18, 商务印书馆 钱穆 论语,想读,8.5,70,https://book.douban.com/subject/26322355/
词史,,刘毓盘 ,, 商务印书馆,中华现代学术名著丛书, 2015-3,9787100100410,232, 22.00元, 文学理论 词 历史 *北京·商务印书馆*,想读,8.3,14,https://book.douban.com/subject/26369889/
庄子今注今译,,陈鼓应 ,, 商务印书馆,陈鼓应道典诠释书系：珍藏版, 2016-5-1,9787100115575,1043, 108.00元, 庄子 陈鼓应 *北京·商务印书馆*,想读,8.7,43,https://book.douban.com/subject/26817459/
成为技术领导者: 掌握全面解决问题的方法,,杰拉尔德·温伯格 (Gerald M.Weinberg) , 余晟 , 电子工业出版社,温伯格技术思想三部曲, 2015-7-1,9787121258602,216, CNY 69.00, 软件开发 领导力,想读,8,195,https://book.douban.com/subject/26419762/
能夏则大与渐慕华风: 政治体视角下的华夏与华夏化,,胡鴻 ,, 北京师范大学出版社,新史学&amp;多元对话系列, 2017-3,9787303213788,345, CNY 59.00, 华夏化 中国古代史,想读,8.9,388,https://book.douban.com/subject/27011415/
长安与河北之间: 中晚唐的政治与文化,,仇鹿鸣 ,, 北京师范大学出版社,新史学&amp;多元对话系列, 2018-11-1,9787303240739,402, 78.00元, 中晚唐,想读,9.2,330,https://book.douban.com/subject/30386618/
原则与妥协（增订版）: 美国宪法的精神与实践,,王希 ,, 北京大学出版社,博雅英华, 2014-12,9787301247372,988, 150.00元, 政治学 宪法史 美国史,想读,9.3,197,https://book.douban.com/subject/26162975/
南明史,,顾诚 ,, 光明日报出版社,顾诚著作系列, 2011-8-26,9787511213273,848, 88.00元, 南明 顾诚,想读,9.2,2247,https://book.douban.com/subject/6533042/
魏晋之际的政治权力与家族网络,,仇鹿鸣 ,, 上海古籍出版社,中古中国知识·信仰·制度研究书系, 2015-6-1,9787532576159,337, 76.00元, 魏晋南北朝史,想读,9.4,1046,https://book.douban.com/subject/26377063/
敏捷革命：提升个人创造力与企业效率的全新协作模式, Scrum:The Art of Doing Twice the Work in Half the Time,[美] 杰夫·萨瑟兰 , 蒋宗强 , 中信出版社,, 2017-4,9787508671437,265, 49.00元, 软件工程 敏捷开发,想读,8.3,419,https://book.douban.com/subject/27008697/
中国史纲,,张荫麟 ,, 中華書局,国民阅读经典, 2012-7,9787101086287,316, 26.00元, 张荫麟 中华书局 通史,想读,9.1,205,https://book.douban.com/subject/11601196/
黄侃国学讲义录,,黄侃 ,, 中华书局,黃侃文集, 2006-5,9787101051148,356,26, 章黄学派 黄侃 國學,想读,9.2,41,https://book.douban.com/subject/1850214/
国学概论,,钱穆 ,, 九州出版社,钱穆先生全集, 2011-1,9787510807077,362, 48.00元, 国学 錢穆,想读,9,133,https://book.douban.com/subject/6097219/
国史十六讲: 修订版,,樊树志 , 有2012年9月第17次印本 , 中华书局,国学专题课, 2009-5,9787101065282,293, 38.00元, 通识 樊树志 中国 入门,想读,8.2,390,https://book.douban.com/subject/3753913/
历史学是什么,,葛剑雄、周筱赟 ,, 北京大学出版社,未名·人文社会科学是什么, 2015-9,9783010553933,400, 48.00元, 葛剑雄 历史学 中国,想读,8.4,177,https://book.douban.com/subject/1432627/
一生能读几多书: 我的私人阅读史,,范福潮 ,, 东方出版社,, 2018-1,9787506098816,442, 59.00元, 父子大学 书海泛舟记 范福潮,想读,8.5,88,https://book.douban.com/subject/27594545/
用户故事地图, User Story Mapping,Jeff Patton , 李涛、向振东 , 清华大学出版社,, 2016-4-1,9787302429944,260, 59.00元, 交互设计 用户故事,想读,7.4,254,https://book.douban.com/subject/26760348/
历史知识理论, Historik,[德] 德罗伊森 著、耶尔恩·吕森、胡昌智 编选 , 胡昌智 , 北京大学出版社,历史的观念译丛, 2006-7,9787301101643,133, 15.00元, 历史哲学 历史学,想读,9,78,https://book.douban.com/subject/1851626/
历史学十二讲, Douze lecons sur l&#39;histoire,[法] 安托万•普罗斯特 , 王春华 , 北京大学出版社,历史学的实践丛书, 2012-5,9787301203668,313, 38.00元, 方法论 法国 历史学,想读,8.9,266,https://book.douban.com/subject/10769835/
人类的故事, The Story of Mankind,房龙、约翰·梅里曼 , 胡允桓 , 生活·读书·新知三联书店,房龙作品精选, 2010-4,9787108033420,583, 45.00元, 世界历史 房龙 三联书店,想读,8.3,498,https://book.douban.com/subject/4238168/
优质代码: 软件测试的原则 实践与模式, Quality Code: Software Testing Principles. Practices. and Patterns,[美]Stephen Vance 斯蒂芬•万斯 , 伍斌 , 人民邮电出版社,, 2015-1,9787115375582,216,49, 软件工程 测试,想读,7.4,12,https://book.douban.com/subject/26301904/
清代通史(全5册),,萧一山 ,, 华东师范大学出版社,, 2006-3,9787561745069,4342, 580.00元, 萧一山 清史,想读,8.9,50,https://book.douban.com/subject/1813875/
精益开发与看板方法,,李智桦 , 李淳 , 清华大学出版社,, 2016-1-1,9787302423560,224,49, 软件工程,想读,7.4,13,https://book.douban.com/subject/26764497/
Scrum敏捷软件开发, Succeeding with Agile: Software Development using Scrum,Mike Cohn , 廖靖斌、吕梁岳、陈争云、阳陆育 , 清华大学出版社,, 2010-11,9787302238799,474, 69.00元, agile 软件开发,想读,8,159,https://book.douban.com/subject/5334585/
书写历史,,朱渊清 ,, 上海古籍出版社,, 2009-08,9787532553198,580, 108.00元, 朱渊清 中国历史,想读, ,,https://book.douban.com/subject/3918830/
建元与改元: 西汉新莽年号研究,,辛德勇 ,, 中华书局,中华学术文库, 2013-7-1,9787101090185,410, 47.00元, 年号 年代学 秦汉,想读,8.9,260,https://book.douban.com/subject/20473479/
西周的政体: 中国早期的官僚制度和国家, Bureaucracy and the State in Early China: Governing the Western Zhou,李峰 , 吴敏娜、胡晓军、许景昭、侯昱文 , 生活·读书·新知三联书店,, 2010-08,9787108034175,381, 45.00元, 李峰 西周 制度史,想读,8.6,295,https://book.douban.com/subject/4582330/
西周的灭亡: 中国早期国家的地理和政治危机, Landscape and Power in Early China: The Crisis and Fall of the Western Zhou 1045-771 BC,李峰 , 徐峰、汤惠生 , 上海古籍出版社,早期中国研究丛书, 2007-10-01,9787532547432,476,38, 李峰 西周史,想读,8.7,434,https://book.douban.com/subject/2298352/
西周史: 增补二版,,许倬云 ,, 生活·读书·新知三联书店,三联文史新论, 2012-3,9787108037336,388, 48.00元, 许倬云 西周史,想读,8.3,279,https://book.douban.com/subject/6397532/
西周史,,杨宽 ,, 上海人民出版社,杨宽著作集, 2016-7,9787208138247,925, 118.00元, 西周 杨宽 断代史,想读,9,102,https://book.douban.com/subject/26848827/
南北战争三百年: 中国4—6世纪的军事与政权,,李硕 , 世纪文景 , 世纪文景 /上海人民出版社,, 2018-2,9787208148314,456, 59.00元, 魏晋南北朝史 军事 武器,想读,8.1,903,https://book.douban.com/subject/28135034/
祖先III,,安森垚 ,, 九州出版社,, 2018-3,9787510865848,288,45, 历史 社会学,想读,7.7,50,https://book.douban.com/subject/30136319/
修改软件的艺术: 构建易维护代码的9条最佳实践,,[美] David Scott Bernstein , 李满庆 , 人民邮电出版社,图灵程序设计丛书·程序员修炼系列, 2017-10,9787115467768,192, 55.00元, 软件工程 敏捷,想读,7.3,22,https://book.douban.com/subject/27151925/
企业应用架构模式, Patterns of Enterprise Application Architecture,Martin Fowler , 王怀民、周斌 , 机械工业出版社,开发人员专业技术丛书, 2010-4,9787111303930,363, 59.00元, 软件工程 软件架构,想读,8.3,293,https://book.douban.com/subject/4826290/
领域特定语言, Domain-Specific Languages,Martin Fowler , ThoughtWorks中国 , 机械工业出版社华章公司,华章程序员书库, 2013-3,9787111413059,488, 89.00元, 软件工程 Fowler DSL,想读,8.2,79,https://book.douban.com/subject/21964984/
学习敏捷: 构建高效团队,,[美] Andrew Stellman、[美] Jennifer Greene , 段志岩、郑思遥 , 人民邮电出版社,图灵程序设计丛书·程序员修炼系列, 2017-3,9787115447555,308, 79.00元, 计算机 敏捷开发 软件工程,想读,8.5,33,https://book.douban.com/subject/26979886/
代码质量,,季奥米季斯•斯宾耐立思(Diomidis Spinellis) , 左飞、吴跃、李洁 , 电子工业出版社,Jolt大奖精选丛书, 2012-7,9787121174216,471, 89.00元, 软件开发,想读,7.9,24,https://book.douban.com/subject/11509673/
代码阅读,,季奥米季斯·斯宾耐立思(Diomidis Spinellis) , 左飞、吴跃、杨宁 , 电子工业出版社,Jolt大奖精选丛书, 2012-8,9787121174810,402, 79.00元, 软件工程 代码,想读,7.4,56,https://book.douban.com/subject/11509671/
诗与它的山河: 中古山水美感的生长,,萧驰 ,, 生活·读书·新知三联书店,三联文史新论, 2018-1,9787108060396,670, 120.00元, 魏晉南北朝,想读,9.1,165,https://book.douban.com/subject/27616140/
计算机程序设计艺术：第4卷 第4册（双语版）: 生成所有树组合生成的历史,,Donald E.Knuth , 苏运霖 , 机械工业出版社,计算机程序设计艺术（双语版）, 2007-4,9787111208259,230, 42.00元, 算法 计算机科学,想读,8.4,25,https://book.douban.com/subject/2057924/
昨日世界: 一个欧洲人的回忆,,[奥] 茨威格 , 张玉书 , 人民文学出版社,汉译传记, 2015-4,9787020107964,337, 39.00元, 茨威格 回忆录,想读,9.4,379,https://book.douban.com/subject/26335337/
精神世界的缔造者: 九作家评传,,[奥] 斯蒂芬•茨威格 , 申文林、高中甫 等 , 新星出版社,茨威格作品, 2017-8,9787513326933,608, 88.00元, 奥地利 茨威格 传记,想读,8.7,46,https://book.douban.com/subject/27132300/
罗曼诺夫皇朝: 1613-1918, The Romanovs：1613-1918,[英] 西蒙·塞巴格·蒙蒂菲奥里 , 陆大鹏 , 社会科学文献出版社,甲骨文丛书, 2017-11,9787520113229,1162, CNY 168.00, 俄罗斯 欧洲史,想读,8,797,https://book.douban.com/subject/27115938/
霍乱时期的爱情（2015年修订版）: 2015年修订版, El Amor En Los Tiempos Del Colera,[哥伦比亚] 加西亚·马尔克斯 , 杨玲 , 南海出版公司,新经典文库:加西亚·马尔克斯作品, 2015-6,9787544277617,402, 49.50元, 经典 加西亚·马尔克斯 拉美文学 小说,想读,8.8,5658,https://book.douban.com/subject/26374532/
Exceptional C++（中文版）: 47个C++工程难题、编程问题和解决方案, Exceptional C++: 47 Engineering Puzzles. Programming Problems. and Solutions,萨特 , 聂雪军 , 电子工业出版社,传世经典书丛, 2012-6,9787121170850,257, 59.00元, C/C++,想读,9.7,38,https://book.douban.com/subject/10785602/
大规模c++程序设计, Large-Scale C++ Software Design,[美] John Lakos , 刘冰、张林 , 机械工业出版社,, 2014-10-1,9787111474258,852,129, 大规模 C++ 工程模式,想读,7.3,10,https://book.douban.com/subject/26220142/
C#并发编程经典实例,,克利里 (Stephen Cleary) , 相银初 , 人民邮电出版社,, 2015-1-1,9787115374271,169, CNY 49.00, .NET C# 并发编程,想读,8,35,https://book.douban.com/subject/26274181/
面纱, The Painted Veil,(英)W.萨默塞特·毛姆 , 阮景林 , 重庆,重现经典（精装）, 2012-05-01,9787229050238,249, 32.00元, 毛姆 英国文学 人性,想读,8.7,29196,https://book.douban.com/subject/10560798/
并发的艺术, The Art of Concurrency: A Thread Monkey&#39;s Guide to Writing Parallel Applications,Clay Breshears , 聂雪军 , 机械工业出版社,, 2010年9月,9787111309383,265, 49.00元, 软件开发 并行计算 O&#39;Reilly,想读,7,57,https://book.douban.com/subject/4937268/
陈寅恪魏晋南北朝史讲演录,,万蝇楠 整理 ,, 贵州人民出版社,, 2007-4,9787221073693,312,29.8, 中国 历史 魏晋南北朝 陈寅恪,想读,9,3474,https://book.douban.com/subject/2032141/
设计中的设计 | 全本, DESIGNING DESIGN,[日] 原研哉 , 纪江红、朱锷 , 广西师范大学出版社,, 2010-09,9787563394180,480, 98.00元,,想读,9.1,7271,https://book.douban.com/subject/4230237/
读书之道,,詹福瑞 ,, 中华书局,, 2015-4,9787101106619,204, 35.00元,,想读,6.4,33,https://book.douban.com/subject/26411607/
遍地风流: 阿城文集 之二,,阿城 ,, 江苏凤凰文艺出版社,阿城文集（精装）, 2016-3-1,9787539979373,280,68, 阿城 短篇小说 中国,想读,9.1,1417,https://book.douban.com/subject/26278433/
巨婴国: 国内心理学家系统透视中国国民性,,武志红 ,, 浙江人民出版社,, 2016-12,9787213076824,480, CNY 58.00, 心理学 武志红,想读,6.5,13083,https://book.douban.com/subject/26910673/
多莱尔的希腊神话书, D&#39;Aulaires&#39; Book of Greek Myths,[美] 英格丽·多莱尔、[美] 爱德加·帕林·多莱尔 , 熊裕 , 全本书店|江苏教育出版社,, 2016-6-1,9787549953875,200,88, 希腊神话 儿童,想读,9.1,550,https://book.douban.com/subject/26710042/
有鹿来: 京都的日常,,苏枕书 ,, 北京联合出版公司,, 2016-1,9787550266537,296,49.8, 散文随笔,想读,7.9,1509,https://book.douban.com/subject/26685539/
北欧，冰与火之地的寻真之旅, The Almost Nearly Perfect People: The Truth About The Nordic Miracle,[英] 迈克尔·布斯 , 梁卿 , 生活·读书·新知三联书店,, 2016-1,9787807681014,394, 58.00元, 北欧 旅行,想读,8.6,3211,https://book.douban.com/subject/26708306/
认识商业（插图修订第10版）, Understanding business.10e,[美] 威廉·尼克尔斯（William G.Nickels）、吉姆·麦克修（James M.McHugh）、苏珊·麦克修（Susan M.McHugh） , 陈智凯、黄启瑞、黄延峰 , 世界图书出版公司·后浪出版公司,后浪大学堂, 2016-1,9787510093418,576, 99.80元, 商业 管理 经济,想读,8.3,848,https://book.douban.com/subject/26698020/
伯罗奔尼撒战争, The Peloponnesian War,[美] 唐纳德·卡根 , 陆大鹏 , 社会科学文献出版社,甲骨文丛书, 2016-4,9787509777541,593, 79.00元, 历史 古希腊,想读,8.9,1236,https://book.douban.com/subject/26451505/
我的应许之地: 以色列的荣耀与悲情, My Promised Land:The Triumph and Tragedy of Israel,[以色列] 阿里·沙维特 , 简扬、有2016年4月3印本 , 中信出版社,, 2016-1,9787508647913,448, 68.00元, 以色列 历史,想读,8.2,2630,https://book.douban.com/subject/25986748/
山中最后一季: 一个将生命、灵魂与激情融入山野的故事, The Last Season,[美] 埃里克·布雷姆 , 赖盈满、何雨珈 , 上海社会科学院出版社,, 2016-8,9787552013931,372, 39.80元, 纪实文学 美国文学,想读,8.5,519,https://book.douban.com/subject/26801537/
鳄鱼街: 布鲁诺·舒尔茨小说全集, ULICA KROKODYLI,[波] 布鲁诺·舒尔茨 , 林蔚昀 , 广西师范大学出版社·理想国,, 2016-5,9787549576319,464, 52.00元, 短篇小说 布鲁诺·舒尔茨 波兰文学,想读,8.5,1700,https://book.douban.com/subject/26681991/
北鸢,,葛亮 ,, 人民文学出版社,葛亮作品, 2016-10-1,9787020118076,490, 45.00元, 历史 中国 小说 民国 家族史,想读,7.9,8980,https://book.douban.com/subject/26821461/
巨人的陨落: 世纪三部曲, Fall of Giants,[英] 肯·福莱特 , 于大卫 , 江苏凤凰文艺出版社,世纪三部曲, 2016-5-1,9787539989891,1168, 129.80元, 美国文学 历史,想读,8.9,55631,https://book.douban.com/subject/26698660/
二手时间, Время секонд хэнд,[白俄] S.A.阿列克谢耶维奇 , 吕宁思 , 中信出版社,S·A·阿列克谢耶维奇作品, 2016-1,9787508658346,592, 55.00元, 外国文学 俄罗斯文学 纪实,想读,8.8,10441,https://book.douban.com/subject/26704403/
西方政治传统: 近代自由主义之发展, The Political Tradition of the West : A Study in the Development of Modern Liberalism,弗里德里希·沃特金斯 ,, 理想国 | 广西师范大学出版社,, 2016-7,9787549578511,276,, 政治哲学 政治学 政治,想读,8.9,187,https://book.douban.com/subject/26712445/
像我这样的一个读者,,西西 ,, 广西师范大学出版社,理想国·西西作品, 2016-7,9787549556601,331,42, 读书 散文,想读,7.8,381,https://book.douban.com/subject/25922755/
